step	accuracy
0	0.2666666805744171
1	0.4000000059604645
2	0.43809524178504944
3	0.5047619342803955
4	0.6000000238418579
5	0.561904788017273
6	0.6380952596664429
7	0.6380952596664429
8	0.6666666865348816
9	0.6952381134033203
10	0.6952381134033203
11	0.7142857313156128
12	0.6666666865348816
13	0.723809540271759
14	0.7142857313156128
15	0.8761904835700989
16	0.7714285850524902
17	0.8285714387893677
18	0.8952381014823914
19	0.8952381014823914
20	0.8095238208770752
21	0.8666666746139526
22	0.8952381014823914
23	0.8571428656578064
24	0.8857142925262451
25	0.8761904835700989
26	0.8761904835700989
27	0.8857142925262451
28	0.9523809552192688
29	0.8952381014823914
